Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
buffZombieTrackerAcquiredDesc,buffs,Buff,,,You have found Zombie tracks.\nIf you walk or run you will eventually lose the trail.,,"Du hast Tierspuren gefunden.\nWenn du herumläufst oder rennst, wirst du allmählich die Spur verlieren.","Has encontrado huellas de Zombiees.\nSi caminas o corres, se borrarán las huellas al final.","Vous avez trouvé des traces d'animaux.\nSi vous marchez ou courez, vous finirez par perdre la piste.","Hai trovato impronte Zombiei.\nSe cammini o corri, a un certo punto perderai le tracce.",獣道を見つけました。\n歩いたり走ったりしてるといずれ足跡を見失うでしょう。,동물 흔적을 찾았습니다.\n걷거나 달릴 경우 흔적을 잃어버릴 수 있습니다.,"Udało ci się znaleźć tropy zwierząt.\nJeśli zaczniesz iść lub biec, ostatecznie zgubisz trop.","Você achou rastros de animais.\nSe você caminhar ou correr, acabará perdendo o rastro.","Вы нашли следы животного.\nЕсли вы пойдете или побежите, то в конце концов потеряете след.",Hayvan izleri buldun.\nYürürsen veya koşarsan önünde sonunda bu izleri kaybedersin.,你发现了动物踪迹。\n行走或奔跑会使你丢失踪迹。,你已發現動物的蹤跡。\n如果走開或跑掉會最終跟丟。,"Has encontrado huellas de Zombiees.\nSi caminas o corres, se borrarán las huellas al final."
buffZombieTrackerDesc,buffs,Buff,,,You are looking for Zombie tracks.,,Du suchst nach Tierspuren.,Estás buscando huellas de Zombiees.,Vous cherchez des traces d'animaux.,Stai cercando tracce di Zombiei.,獣道を探しています。,동물 흔적을 찾는 중입니다.,Szukasz tropów zwierząt.,Você está procurando por rastros de animais.,Вы ищете следы животного.,Hayvan izleri arıyorsun.,你正在寻找动物踪迹。,你正在尋找動物的蹤跡。,Estás buscando huellas de Zombiees.
buffZombieTrackerName,buffs,Buff,,,Zombie Tracker,,Fährtenleser,Rastreador de Zombiees,Pisteur Zombieier,Fiuto Zombiee,アニマルトラッカー,동물 추적자,Tropiciel zwierząt,Rastreador de Animais,Следопыт,Hayvan Takipçisi,动物追踪器,動物追蹤器,Rastreador de Zombiees
buffZombieTrackerNoneTooltip,buffs,Buff,,,You do not see any tracks around here.,,Du kannst keine Spuren in der Nähe sehen.,No hay huellas por aquí.,Vous ne voyez aucune trace dans les environs.,Non vedi tracce qui.,この辺りに獣道の気配はありません。,이 주변에는 흔적이 없습니다.,W okolicy nie widać żadnych śladów.,Você não está vendo nenhum rastro por aqui.,Никаких следов здесь не заметно.,Buralarda iz görmüyorsun.,附近未发现任何踪迹。,附近沒有看到任何蹤跡。,No hay huellas por aquí.
perkZombieTrackerDesc,progression,perk Per,,,Learn to detect and track Zombies within 100m and never go hungry.,,Lerne Tiere im Umkreis von 100 m aufzuspüren und zu verfolgen und leide nie wieder Hunger.,Aprende a detectar y rastrear Zombiees a menos de 100 metros y nunca pases hambre.,Apprenez à repérer et à pister les animaux à 100 mètres à la ronde et à ne plus jamais souffrir de famine.,"Impara a individuare e seguire le tracce degli Zombiei in un raggio di 100 metri, così non avrai mai fame.",100m以内の動物を検出して追跡し、空腹にならないようにします。,"100m 이내의 동물을 감지하고 추적하는 방법을 배우며, 절대 굶주리지 않습니다.","Naucz się, jak zauważać i tropić zwierzęta oddalone o 100 metrów, i na zawsze zapomnij o głodzie.",Aprenda a detectar e rastrear animais a até 100 m de distância e nunca passe fome.,"Научитесь находить и выслеживать животных в пределах 100 м, и вы никогда не останетесь голодным.",100 metrelik alan içindeki hayvanları tespit edip izlemeyi öğren ve asla aç kalma.,学习如何探测并追踪100米内的动物，这下再也不会饿肚子了。,學習探查和追蹤 100 米內的動物而不會感到飢餓。,Aprende a detectar y rastrear Zombiees a menos de 100 metros y nunca pases hambre.
perkZombieTrackerName,progression,perk Per,,,Zombie Tracker,,Fährtenleser,Rastreador de Zombiees,Pisteur Zombieier,Fiuto Zombiee,アニマルトラッカー,동물 추적자,Tropiciel zwierząt,Rastreador de Animais,Следопыт,Hayvan Takipçisi,动物追踪器,動物追蹤器,Rastreador de Zombiees
perkZombieTrackerRank1Desc,progression,perk Per,,,Trail Finder,,Wildsucher,Rastreador de senderos,Pisteur,Setter,足跡ファインダー,흔적 발견자,Poszukiwacz tropów,Rastreador de trilhas,Поисковик,İz Bulucu,踪迹寻者,蹤跡尋找者,Rastreador de senderos
perkZombieTrackerRank1LongDesc,progression,perk Per,,,"Crouch down and use your keen eyesight to find the tracks of small Zombies like rabbits, snakes or chickens.\nTracked Zombies are marked on your compass and map.",,"Ducke dich und mach dir dein gutes Sehvermögen zunutze, um die Spuren kleiner Tiere wie Schlangen und Hühner zu finden.\nVerfolgte Tiere werden auf deinem Kompass und deiner Karte angezeigt.","Agáchate y usa tu aguda vista para encontrar las huellas de pequeños Zombiees como conejos, serpientes o gallinas.\nLos Zombiees rastreados están marcados en tu brújula y mapa.","Vous vous allongez et mettez votre vision affûtée à profit pour repérer des traces de petits animaux, tels que des lapins, des serpents ou des poulets.\nLes animaux ainsi pistés sont indiqués sur votre boussole et votre carte.","Accovacciati e usa la tua vista acuta per trovare le tracce di piccoli Zombiei come conigli, serpenti o galline.\nGli Zombiei tracciati sono segnalati sulla bussola e sulla mappa.",しゃがんで鋭い視力でウサギ、ヘビ、ニワトリなどの小動物の足跡を見つけられます。\n追跡された動物は、コンパスと地図にマークされます。,"몸을 웅크려 예리한 시력을 이용해 토끼, 뱀이나 닭 같은 소동물의 흔적을 찾습니다.\n추적한 동물은 나침반과 지도에 나타납니다.","Kucnij i wprawnym wzrokiem znajdź tropy małych zwierząt, np. królików, węży czy kurczaków.\nTropione zwierzęta są oznaczane na mapie i kompasie.","Agache-se e use sua visão aguçada para encontrar rastros de animais pequenos, como coelhos, cobras e galinhas.\nOs animais rastreados ficarão marcados na bússola e no mapa.","Пригнитесь и используйте острое зрение для поиска следов мелких животных вроде кроликов, змей и кур.\nВыслеженные животные отмечаются на компасе или карте.","Yere eğil ve görme yeteneklerinle tavşan, yılan veya tavuk gibi küçük hayvanların izini bul.\nİzlenen hayvanlar pusulanda ve haritada işaretlenir.",蹲下来用你的火眼金睛找寻兔子、蛇或鸡这类小型动物的踪迹吧。\n追踪到的动物会标记在你的指南针与地图上。,蹲下來用你敏銳的目光尋找兔、蛇或雞等小動物的蹤跡。\n被追蹤的動物顯示在你的指南針和地圖上。,"Agáchate y usa tu aguda vista para encontrar las huellas de pequeños Zombiees como conejos, serpientes o gallinas.\nLos Zombiees rastreados están marcados en tu brújula y mapa."
perkZombieTrackerRank2Desc,progression,perk Per,,,Ranger,,Ranger,Cazador,Rôdeur,Segugio,レンジャー,레인저,Leśnik,Patrulheiro,Егерь,Korucu,护林员,遊俠,Cazador
perkZombieTrackerRank2LongDesc,progression,perk Per,,,Your hawk like senses can detect deer and boars as well as sneaky predators like wolves or coyotes.,,Deine unmenschlich scharfen Sinne können sowohl Hirsche und Wildschweine als auch gewiefte Raubtiere wie Wölfe oder Kojoten aufspüren.,Tus sentidos comparables a los del halcón pueden detectar depredadores sigilosos como lobos o coyotes.,"Votre vision d'aigle vous permet de détecter des cervidés et des sangliers ainsi que des prédateurs embusqués, tels que des loups ou des coyotes.","I tuoi sensi da segugio possono rilevare cervi, cinghiali e predatori furtivi come lupi o coyote.",あなたのタカのような感覚は、オオカミやコヨーテなどの注意深い捕食者も検出できます。,매와 같은 감각은 사슴과 멧돼지는 물론 늑대나 코요테 같이 몸을 숨긴 포식자도 감지할 수 있습니다.,"Masz wyostrzone zmysły. Potrafisz wyczuć jelenie i dziki, a także przebiegłe drapieżniki, takie jak wilki czy kojoty.","Seus sentidos aguçadíssimos podem detectar cervos e javalis, e predadores furtivos, como lobos e coiotes.","Ястребиное зрение позволяет обнаруживать оленей, кабанов и коварных хищников вроде волков и койотов.",Şahin bakışlarınla hem geyikleri ve yabani domuzları hem de kurt veya çakal gibi sinsi yırtıcıları algılayabilirsin.,你犹如鹰一样的感官能检测鹿和野猪，以及狼或郊狼等狡猾的食肉动物。,你如鷹一般的感知力可以察覺到鹿和野豬，以及狼或土狼等狡詐的掠食動物。,Tus sentidos comparables a los del halcón pueden detectar depredadores sigilosos como lobos o coyotes.
perkZombieTrackerRank3Desc,progression,perk Per,,,Big Game Hunter,,Großwildjäger,Sabueso de caza mayor,Limier,Cacciatore di prima classe,ビッグゲームハンター,큰 사냥감 사냥꾼,Polowanie na grubą zwierzynę,Cão de caça,Охотник за крупной дичью,Büyük Av Hayvanı Avcısı,大猎物猎人,大獵物狩獵人,Sabueso de caza mayor
